,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
10,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,267.0,368.0,368.0,368.0,89.0
11,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,356.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,86.0,368.0,0.0,368.0,460.0,368.0,83.0
12,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,178.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,92.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
13,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
14,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,368.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,296.0,368.0,368.0,368.0,89.0,368.0,368.0,368.0,460.0
15,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,0.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,0.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
16,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,430.0,368.0,0.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,1634.0,368.0,370.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
17,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,89.0,368.0,296.0,368.0,1634.0,368.0,0.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
18,368.0,890.0,368.0,801.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,148.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,83.0
19,368.0,890.0,368.0,712.0,368.0,178.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,172.0,368.0,86.0,368.0,267.0,368.0,0.0,368.0,92.0,368.0,92.0,368.0,368.0,368.0,296.0,368.0,86.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,415.0
