,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
10,552.0,1288.0,552.0,1288.0,552.0,264.0,552.0,264.0,552.0,264.0,552.0,712.0,552.0,712.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,276.0,552.0,264.0,552.0,220.0,552.0,0.0,552.0,920.0,552.0,0.0,552.0,396.0,552.0,396.0,552.0,396.0,552.0,444.0,552.0,148.0,552.0,370.0,552.0,0.0,552.0,0.0,552.0,222.0,552.0,0.0,552.0,962.0,552.0,396.0,552.0,267.0,552.0,0.0,552.0,0.0,552.0,83.0,552.0,356.0
11,552.0,1288.0,552.0,1288.0,552.0,534.0,552.0,264.0,552.0,264.0,552.0,712.0,552.0,712.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,92.0,552.0,264.0,552.0,264.0,552.0,0.0,552.0,920.0,552.0,264.0,552.0,396.0,552.0,396.0,552.0,396.0,552.0,444.0,552.0,74.0,552.0,0.0,552.0,0.0,552.0,0.0,552.0,296.0,552.0,740.0,552.0,444.0,552.0,396.0,552.0,267.0,552.0,930.0,552.0,83.0,552.0,83.0,552.0,267.0
12,552.0,1288.0,552.0,1288.0,552.0,264.0,552.0,264.0,552.0,264.0,552.0,712.0,552.0,712.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,92.0,552.0,264.0,552.0,0.0,552.0,0.0,552.0,368.0,552.0,18.0,552.0,396.0,552.0,396.0,552.0,396.0,552.0,444.0,552.0,0.0,552.0,0.0,552.0,64.0,552.0,0.0,552.0,148.0,552.0,740.0,552.0,444.0,552.0,396.0,552.0,267.0,552.0,552.0,552.0,0.0,552.0,83.0,552.0,267.0
13,552.0,1288.0,552.0,1288.0,552.0,264.0,552.0,264.0,552.0,264.0,552.0,712.0,552.0,712.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,296.0,552.0,370.0,552.0,92.0,552.0,264.0,552.0,264.0,552.0,0.0,552.0,920.0,552.0,264.0,552.0,396.0,552.0,396.0,552.0,396.0,552.0,444.0,552.0,0.0,552.0,0.0,552.0,172.0,552.0,1196.0,552.0,222.0,552.0,740.0,552.0,444.0,552.0,396.0,552.0,267.0,552.0,0.0,552.0,83.0,552.0,83.0,552.0,267.0
14,552.0,1288.0,552.0,1288.0,552.0,264.0,552.0,264.0,552.0,264.0,552.0,712.0,552.0,712.0,552.0,396.0,552.0,585.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,736.0,552.0,264.0,552.0,264.0,552.0,0.0,552.0,0.0,552.0,264.0,552.0,132.0,552.0,396.0,552.0,396.0,552.0,444.0,552.0,74.0,552.0,0.0,552.0,688.0,552.0,0.0,552.0,0.0,552.0,740.0,552.0,444.0,552.0,0.0,552.0,267.0,552.0,0.0,552.0,0.0,552.0,83.0,552.0,267.0
15,552.0,1288.0,552.0,1288.0,552.0,264.0,552.0,264.0,552.0,444.0,552.0,712.0,552.0,712.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,92.0,552.0,264.0,552.0,264.0,552.0,0.0,552.0,920.0,552.0,264.0,552.0,276.0,552.0,352.0,552.0,400.0,552.0,444.0,552.0,592.0,552.0,552.0,552.0,222.0,552.0,195.0,552.0,296.0,552.0,740.0,552.0,296.0,552.0,396.0,552.0,267.0,552.0,666.0,552.0,0.0,552.0,83.0,552.0,267.0
16,552.0,1288.0,552.0,1288.0,552.0,264.0,552.0,264.0,552.0,352.0,552.0,712.0,552.0,712.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,92.0,552.0,264.0,552.0,264.0,552.0,0.0,552.0,920.0,552.0,264.0,552.0,396.0,552.0,396.0,552.0,89.0,552.0,444.0,552.0,740.0,552.0,178.0,552.0,222.0,552.0,74.0,552.0,0.0,552.0,740.0,552.0,444.0,552.0,396.0,552.0,267.0,552.0,0.0,552.0,83.0,552.0,83.0,552.0,0.0
17,552.0,1288.0,552.0,1288.0,552.0,264.0,552.0,264.0,552.0,308.0,552.0,712.0,552.0,712.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,92.0,552.0,264.0,552.0,264.0,552.0,0.0,552.0,920.0,552.0,264.0,552.0,396.0,552.0,352.0,552.0,814.0,552.0,444.0,552.0,444.0,552.0,592.0,552.0,65.0,552.0,592.0,552.0,344.0,552.0,444.0,552.0,444.0,552.0,74.0,552.0,267.0,552.0,178.0,552.0,0.0,552.0,83.0,552.0,267.0
18,552.0,1288.0,552.0,552.0,552.0,264.0,552.0,264.0,552.0,264.0,552.0,712.0,552.0,712.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,92.0,552.0,264.0,552.0,264.0,552.0,356.0,552.0,920.0,552.0,264.0,552.0,396.0,552.0,396.0,552.0,444.0,552.0,444.0,552.0,267.0,552.0,92.0,552.0,92.0,552.0,296.0,552.0,148.0,552.0,12.0,552.0,444.0,552.0,396.0,552.0,89.0,552.0,0.0,552.0,332.0,552.0,83.0,552.0,267.0
19,552.0,1288.0,552.0,1288.0,552.0,264.0,552.0,264.0,552.0,264.0,552.0,712.0,552.0,712.0,552.0,396.0,552.0,396.0,552.0,44.0,552.0,370.0,552.0,370.0,552.0,552.0,552.0,264.0,552.0,264.0,552.0,460.0,552.0,920.0,552.0,264.0,552.0,396.0,552.0,396.0,552.0,664.0,552.0,1184.0,552.0,0.0,552.0,0.0,552.0,592.0,552.0,50.0,552.0,296.0,552.0,444.0,552.0,74.0,552.0,396.0,552.0,267.0,552.0,712.0,552.0,265.0,552.0,83.0,552.0,267.0
