,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
14,552.0,178.0,552.0,356.0,552.0,1012.0,552.0,184.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,534.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,356.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,276.0
15,552.0,178.0,552.0,356.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1748.0
16,552.0,178.0,552.0,712.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,304.0,552.0,552.0,552.0,1958.0,552.0,356.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1748.0
17,552.0,178.0,552.0,712.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1748.0
18,552.0,178.0,552.0,712.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,1840.0,552.0,92.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,74.0,552.0,2047.0,552.0,184.0,552.0,712.0,552.0,460.0,552.0,552.0,552.0,712.0,552.0,368.0
19,552.0,178.0,552.0,712.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,1032.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,276.0,552.0,1958.0,552.0,1958.0,552.0,0.0,552.0,890.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1748.0
20,552.0,178.0,552.0,712.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,184.0,552.0,552.0,552.0,1958.0,552.0,249.0,552.0,736.0,552.0,712.0,552.0,0.0,552.0,552.0,552.0,712.0,552.0,1748.0
21,552.0,178.0,552.0,712.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1748.0
22,552.0,178.0,552.0,712.0,552.0,1012.0,552.0,0.0,552.0,92.0,552.0,89.0,552.0,0.0,552.0,1840.0,552.0,1840.0,552.0,1288.0,552.0,332.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1012.0,552.0,0.0,552.0,712.0,552.0,92.0,552.0,92.0,552.0,801.0,552.0,1748.0
23,552.0,178.0,552.0,712.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,1012.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1424.0,552.0,92.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1748.0
24,552.0,178.0,552.0,712.0,552.0,920.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,1246.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1748.0
25,552.0,178.0,552.0,712.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,462.0,552.0,552.0,552.0,644.0,552.0,1958.0,552.0,1472.0,552.0,184.0,552.0,712.0,552.0,276.0,552.0,552.0,552.0,267.0,552.0,1748.0
26,552.0,178.0,552.0,712.0,552.0,828.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,89.0,552.0,1840.0,552.0,0.0,552.0,1840.0,552.0,92.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,534.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,0.0,552.0,664.0,552.0,1748.0
27,552.0,178.0,552.0,445.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,0.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1840.0
28,552.0,178.0,552.0,712.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,890.0,552.0,0.0,552.0,1840.0,552.0,1840.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,445.0,552.0,184.0,552.0,356.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1840.0
29,552.0,178.0,552.0,712.0,552.0,1012.0,552.0,92.0,552.0,1288.0,552.0,89.0,552.0,0.0,552.0,1840.0,552.0,550.0,552.0,1840.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1840.0
30,552.0,178.0,552.0,712.0,552.0,1012.0,552.0,92.0,552.0,368.0,552.0,89.0,552.0,267.0,552.0,1840.0,552.0,1840.0,552.0,92.0,552.0,552.0,552.0,644.0,552.0,552.0,552.0,1958.0,552.0,1958.0,552.0,184.0,552.0,712.0,552.0,92.0,552.0,552.0,552.0,712.0,552.0,1840.0
