,0,1,2,3,4,5
149,45.0,27.0,45.0,0.0,45.0,8.0
150,18.0,12.0,18.0,24.0,18.0,8.0
151,3.0,3.0,3.0,0.0,3.0,8.0
152,24.0,24.0,24.0,45.0,24.0,8.0
153,3.0,30.0,3.0,24.0,3.0,8.0
154,29.0,3.0,29.0,0.0,29.0,0.0
155,29.0,3.0,29.0,0.0,29.0,8.0
156,29.0,3.0,29.0,27.0,29.0,8.0
157,29.0,3.0,29.0,53.0,29.0,0.0
158,29.0,3.0,29.0,6.0,29.0,8.0
159,29.0,30.0,29.0,0.0,29.0,8.0
160,29.0,3.0,29.0,0.0,29.0,24.0
161,29.0,3.0,29.0,0.0,29.0,0.0
162,29.0,3.0,29.0,0.0,29.0,9.0
163,3.0,3.0,3.0,21.0,3.0,8.0
164,24.0,3.0,24.0,0.0,24.0,21.0
165,21.0,3.0,21.0,0.0,21.0,8.0
166,3.0,45.0,3.0,39.0,3.0,8.0
167,12.0,3.0,12.0,6.0,12.0,36.0
168,0.0,9.0,0.0,0.0,0.0,8.0
169,3.0,3.0,3.0,12.0,3.0,30.0
170,3.0,18.0,3.0,0.0,3.0,8.0
171,0.0,3.0,0.0,0.0,0.0,12.0
172,24.0,3.0,24.0,0.0,24.0,8.0
173,21.0,3.0,21.0,0.0,21.0,36.0
174,3.0,0.0,3.0,15.0,3.0,8.0
175,3.0,3.0,3.0,0.0,3.0,8.0
176,3.0,3.0,3.0,0.0,3.0,18.0
177,3.0,3.0,3.0,0.0,3.0,53.0
178,3.0,0.0,3.0,30.0,3.0,53.0
179,3.0,3.0,3.0,15.0,3.0,8.0
180,3.0,3.0,3.0,0.0,3.0,8.0
181,3.0,21.0,3.0,0.0,3.0,8.0
182,3.0,3.0,3.0,3.0,3.0,8.0
183,0.0,3.0,0.0,24.0,0.0,8.0
184,27.0,27.0,27.0,0.0,27.0,6.0
185,3.0,3.0,3.0,0.0,3.0,29.0
186,3.0,3.0,3.0,0.0,3.0,44.0
187,3.0,3.0,3.0,0.0,3.0,8.0
188,6.0,3.0,6.0,0.0,6.0,39.0
