,0,1,2,3,4,5,6,7,8,9
47,1.0,5.0,1.0,5.0,1.0,10.0,1.0,1.0,1.0,40.0
48,1.0,5.0,1.0,15.0,1.0,10.0,1.0,1.0,1.0,40.0
49,5.0,5.0,5.0,5.0,5.0,10.0,5.0,1.0,5.0,17.0
50,5.0,5.0,5.0,3.0,5.0,10.0,5.0,0.0,5.0,45.0
51,5.0,5.0,5.0,20.0,5.0,10.0,5.0,1.0,5.0,41.0
52,5.0,5.0,5.0,0.0,5.0,0.0,5.0,7.0,5.0,14.0
53,0.0,5.0,0.0,5.0,0.0,10.0,0.0,1.0,0.0,35.0
54,5.0,5.0,5.0,5.0,5.0,0.0,5.0,4.0,5.0,41.0
55,5.0,5.0,5.0,5.0,5.0,10.0,5.0,1.0,5.0,41.0
56,5.0,1.0,5.0,5.0,5.0,10.0,5.0,4.0,5.0,41.0
57,5.0,5.0,5.0,0.0,5.0,5.0,5.0,1.0,5.0,41.0
58,5.0,5.0,5.0,0.0,5.0,10.0,5.0,7.0,5.0,41.0
59,5.0,10.0,5.0,5.0,5.0,1.0,5.0,3.0,5.0,41.0
60,5.0,5.0,5.0,5.0,5.0,15.0,5.0,9.0,5.0,41.0
61,5.0,5.0,5.0,5.0,5.0,25.0,5.0,4.0,5.0,41.0
62,5.0,5.0,5.0,5.0,5.0,25.0,5.0,2.0,5.0,41.0
63,10.0,5.0,10.0,5.0,10.0,25.0,10.0,30.0,10.0,41.0
64,25.0,5.0,25.0,5.0,25.0,25.0,25.0,4.0,25.0,41.0
65,25.0,0.0,25.0,5.0,25.0,25.0,25.0,4.0,25.0,16.0
66,25.0,5.0,25.0,5.0,25.0,5.0,25.0,4.0,25.0,0.0
67,25.0,5.0,25.0,5.0,25.0,5.0,25.0,4.0,25.0,5.0
68,25.0,6.0,25.0,2.0,25.0,25.0,25.0,4.0,25.0,20.0
69,25.0,5.0,25.0,5.0,25.0,25.0,25.0,1.0,25.0,10.0
70,25.0,5.0,25.0,5.0,25.0,29.0,25.0,1.0,25.0,18.0
71,25.0,5.0,25.0,5.0,25.0,30.0,25.0,11.0,25.0,41.0
72,25.0,5.0,25.0,5.0,25.0,30.0,25.0,1.0,25.0,36.0
