,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10,92.0,890.0,92.0,801.0,92.0,445.0,92.0,92.0,92.0,890.0,92.0,0.0,92.0,1157.0,92.0,92.0,92.0,92.0,92.0,962.0,92.0,962.0,92.0,534.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,258.0,92.0,92.0,92.0,445.0
11,92.0,890.0,92.0,801.0,92.0,445.0,92.0,92.0,92.0,890.0,92.0,344.0,92.0,1157.0,92.0,92.0,92.0,92.0,92.0,962.0,92.0,962.0,92.0,962.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
12,92.0,890.0,92.0,178.0,92.0,445.0,92.0,92.0,92.0,890.0,92.0,344.0,92.0,1157.0,92.0,92.0,92.0,92.0,92.0,962.0,92.0,962.0,92.0,962.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
13,92.0,890.0,92.0,801.0,92.0,445.0,92.0,92.0,92.0,890.0,92.0,344.0,92.0,1157.0,92.0,92.0,92.0,92.0,92.0,962.0,92.0,962.0,92.0,962.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
14,92.0,890.0,92.0,801.0,92.0,445.0,92.0,460.0,92.0,890.0,92.0,344.0,92.0,1157.0,92.0,92.0,92.0,92.0,92.0,356.0,92.0,518.0,92.0,962.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
15,92.0,890.0,92.0,801.0,92.0,534.0,92.0,92.0,92.0,890.0,92.0,344.0,92.0,1157.0,92.0,184.0,92.0,92.0,92.0,962.0,92.0,0.0,92.0,276.0,92.0,712.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
16,92.0,890.0,92.0,801.0,92.0,445.0,92.0,92.0,92.0,890.0,92.0,344.0,92.0,1157.0,92.0,92.0,92.0,736.0,92.0,962.0,92.0,962.0,92.0,962.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,445.0
17,92.0,890.0,92.0,801.0,92.0,445.0,92.0,92.0,92.0,890.0,92.0,344.0,92.0,534.0,92.0,92.0,92.0,92.0,92.0,962.0,92.0,962.0,92.0,296.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
18,92.0,890.0,92.0,801.0,92.0,445.0,92.0,92.0,92.0,890.0,92.0,344.0,92.0,1157.0,92.0,92.0,92.0,0.0,92.0,962.0,92.0,962.0,92.0,962.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
19,92.0,890.0,92.0,801.0,92.0,445.0,92.0,92.0,92.0,534.0,92.0,344.0,92.0,890.0,92.0,92.0,92.0,92.0,92.0,962.0,92.0,962.0,92.0,962.0,92.0,0.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
20,92.0,890.0,92.0,801.0,92.0,445.0,92.0,92.0,92.0,890.0,92.0,344.0,92.0,1157.0,92.0,0.0,92.0,92.0,92.0,962.0,92.0,962.0,92.0,962.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
21,92.0,890.0,92.0,801.0,92.0,445.0,92.0,92.0,92.0,890.0,92.0,344.0,92.0,801.0,92.0,92.0,92.0,0.0,92.0,962.0,92.0,962.0,92.0,962.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,552.0,92.0,445.0
22,92.0,890.0,92.0,801.0,92.0,445.0,92.0,92.0,92.0,267.0,92.0,344.0,92.0,222.0,92.0,92.0,92.0,92.0,92.0,962.0,92.0,962.0,92.0,920.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
23,92.0,890.0,92.0,801.0,92.0,445.0,92.0,92.0,92.0,890.0,92.0,344.0,92.0,1157.0,92.0,92.0,92.0,92.0,92.0,962.0,92.0,962.0,92.0,1036.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,0.0
24,92.0,890.0,92.0,801.0,92.0,445.0,92.0,92.0,92.0,890.0,92.0,344.0,92.0,1157.0,92.0,92.0,92.0,92.0,92.0,962.0,92.0,962.0,92.0,1036.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,368.0,92.0,92.0,92.0,445.0
25,92.0,890.0,92.0,801.0,92.0,445.0,92.0,92.0,92.0,890.0,92.0,0.0,92.0,1157.0,92.0,184.0,92.0,92.0,92.0,962.0,92.0,962.0,92.0,1036.0,92.0,801.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
26,92.0,890.0,92.0,801.0,92.0,445.0,92.0,368.0,92.0,0.0,92.0,344.0,92.0,1157.0,92.0,92.0,92.0,92.0,92.0,962.0,92.0,962.0,92.0,1036.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,89.0
27,92.0,890.0,92.0,801.0,92.0,445.0,92.0,92.0,92.0,890.0,92.0,344.0,92.0,1157.0,92.0,92.0,92.0,92.0,92.0,962.0,92.0,666.0,92.0,1036.0,92.0,445.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,445.0
