,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
28,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,27.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,34.0,61.0,6.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,187.0,61.0,153.0,61.0,88.0,61.0,44.0,61.0,0.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,85.0
29,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,31.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,2.0,61.0,61.0,61.0,49.0,61.0,14.0,61.0,37.0,61.0,34.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,4.0,61.0,187.0,61.0,153.0,61.0,168.0,61.0,7.0,61.0,88.0,61.0,42.0,61.0,153.0,61.0,57.0,61.0,25.0
30,61.0,18.0,61.0,30.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,49.0,61.0,34.0,61.0,37.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,187.0,61.0,153.0,61.0,168.0,61.0,41.0,61.0,7.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,85.0
31,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,49.0,61.0,34.0,61.0,37.0,61.0,61.0,61.0,85.0,61.0,12.0,61.0,97.0,61.0,5.0,61.0,187.0,61.0,27.0,61.0,168.0,61.0,41.0,61.0,47.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,85.0
32,61.0,18.0,61.0,61.0,61.0,61.0,61.0,0.0,61.0,32.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,39.0,61.0,63.0,61.0,61.0,61.0,49.0,61.0,34.0,61.0,38.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,187.0,61.0,153.0,61.0,168.0,61.0,0.0,61.0,88.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,85.0
33,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,32.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,49.0,61.0,34.0,61.0,37.0,61.0,16.0,61.0,29.0,61.0,78.0,61.0,97.0,61.0,5.0,61.0,187.0,61.0,153.0,61.0,168.0,61.0,22.0,61.0,93.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,35.0
34,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,32.0,61.0,61.0,61.0,26.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,49.0,61.0,34.0,61.0,37.0,61.0,42.0,61.0,11.0,61.0,69.0,61.0,97.0,61.0,46.0,61.0,187.0,61.0,153.0,61.0,168.0,61.0,0.0,61.0,104.0,61.0,42.0,61.0,28.0,61.0,22.0,61.0,85.0
35,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,32.0,61.0,61.0,61.0,61.0,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,49.0,61.0,34.0,61.0,37.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,187.0,61.0,153.0,61.0,168.0,61.0,29.0,61.0,22.0,61.0,42.0,61.0,40.0,61.0,226.0,61.0,85.0
36,61.0,18.0,61.0,61.0,61.0,61.0,61.0,22.0,61.0,32.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,49.0,61.0,34.0,61.0,19.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,187.0,61.0,153.0,61.0,168.0,61.0,71.0,61.0,70.0,61.0,42.0,61.0,22.0,61.0,226.0,61.0,85.0
37,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,32.0,61.0,88.0,61.0,61.0,61.0,4.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,49.0,61.0,34.0,61.0,37.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,80.0,61.0,153.0,61.0,18.0,61.0,2.0,61.0,69.0,61.0,42.0,61.0,28.0,61.0,0.0,61.0,9.0
