,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,552.0,356.0,552.0,534.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,370.0,552.0,370.0,552.0,370.0,552.0,552.0,552.0,497.0,552.0,497.0,552.0,0.0,552.0,148.0,552.0,276.0,552.0,0.0,552.0,340.0,552.0,340.0,552.0,340.0,552.0,267.0,552.0,962.0,552.0,222.0,552.0,0.0,552.0,332.0,552.0,0.0,552.0,516.0,552.0,516.0,552.0,71.0,552.0,71.0,552.0,0.0,552.0,0.0,552.0,83.0,552.0,249.0
11,552.0,356.0,552.0,534.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,518.0,552.0,370.0,552.0,370.0,552.0,552.0,552.0,497.0,552.0,497.0,552.0,497.0,552.0,172.0,552.0,552.0,552.0,276.0,552.0,368.0,552.0,340.0,552.0,340.0,552.0,1068.0,552.0,666.0,552.0,222.0,552.0,222.0,552.0,276.0,552.0,83.0,552.0,516.0,552.0,430.0,552.0,71.0,552.0,71.0,552.0,0.0,552.0,0.0,552.0,83.0,552.0,83.0
12,552.0,356.0,552.0,534.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,370.0,552.0,370.0,552.0,370.0,552.0,552.0,552.0,497.0,552.0,497.0,552.0,497.0,552.0,148.0,552.0,552.0,552.0,276.0,552.0,340.0,552.0,816.0,552.0,340.0,552.0,267.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,0.0,552.0,83.0,552.0,516.0,552.0,138.0,552.0,71.0,552.0,71.0,552.0,0.0,552.0,0.0,552.0,83.0,552.0,83.0
13,552.0,356.0,552.0,534.0,552.0,460.0,552.0,552.0,552.0,552.0,552.0,370.0,552.0,296.0,552.0,148.0,552.0,552.0,552.0,497.0,552.0,497.0,552.0,460.0,552.0,148.0,552.0,0.0,552.0,276.0,552.0,340.0,552.0,340.0,552.0,340.0,552.0,0.0,552.0,0.0,552.0,222.0,552.0,222.0,552.0,0.0,552.0,83.0,552.0,516.0,552.0,0.0,552.0,71.0,552.0,0.0,552.0,0.0,552.0,0.0,552.0,83.0,552.0,83.0
14,552.0,356.0,552.0,534.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,460.0,552.0,370.0,552.0,370.0,552.0,276.0,552.0,497.0,552.0,497.0,552.0,1184.0,552.0,148.0,552.0,552.0,552.0,276.0,552.0,340.0,552.0,340.0,552.0,340.0,552.0,0.0,552.0,68.0,552.0,222.0,552.0,222.0,552.0,166.0,552.0,83.0,552.0,516.0,552.0,344.0,552.0,71.0,552.0,71.0,552.0,0.0,552.0,0.0,552.0,0.0,552.0,249.0
15,552.0,356.0,552.0,534.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,370.0,552.0,370.0,552.0,370.0,552.0,552.0,552.0,497.0,552.0,476.0,552.0,148.0,552.0,518.0,552.0,552.0,552.0,0.0,552.0,340.0,552.0,340.0,552.0,340.0,552.0,178.0,552.0,296.0,552.0,222.0,552.0,222.0,552.0,83.0,552.0,83.0,552.0,516.0,552.0,92.0,552.0,71.0,552.0,71.0,552.0,0.0,552.0,0.0,552.0,83.0,552.0,83.0
16,552.0,356.0,552.0,534.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,370.0,552.0,370.0,552.0,370.0,552.0,552.0,552.0,497.0,552.0,497.0,552.0,148.0,552.0,148.0,552.0,552.0,552.0,276.0,552.0,340.0,552.0,340.0,552.0,0.0,552.0,356.0,552.0,148.0,552.0,444.0,552.0,0.0,552.0,0.0,552.0,0.0,552.0,516.0,552.0,86.0,552.0,71.0,552.0,71.0,552.0,1196.0,552.0,644.0,552.0,83.0,552.0,83.0
17,552.0,356.0,552.0,534.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,370.0,552.0,370.0,552.0,370.0,552.0,552.0,552.0,497.0,552.0,497.0,552.0,148.0,552.0,148.0,552.0,552.0,552.0,276.0,552.0,340.0,552.0,276.0,552.0,340.0,552.0,356.0,552.0,370.0,552.0,222.0,552.0,0.0,552.0,249.0,552.0,83.0,552.0,516.0,552.0,516.0,552.0,71.0,552.0,71.0,552.0,750.0,552.0,0.0,552.0,924.0,552.0,83.0
18,552.0,356.0,552.0,534.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,370.0,552.0,370.0,552.0,370.0,552.0,552.0,552.0,497.0,552.0,497.0,552.0,148.0,552.0,148.0,552.0,552.0,552.0,276.0,552.0,340.0,552.0,340.0,552.0,340.0,552.0,356.0,552.0,370.0,552.0,222.0,552.0,1036.0,552.0,83.0,552.0,83.0,552.0,516.0,552.0,623.0,552.0,71.0,552.0,71.0,552.0,178.0,552.0,0.0,552.0,249.0,552.0,83.0
19,552.0,356.0,552.0,534.0,552.0,408.0,552.0,552.0,552.0,552.0,552.0,148.0,552.0,370.0,552.0,370.0,552.0,552.0,552.0,497.0,552.0,497.0,552.0,0.0,552.0,148.0,552.0,552.0,552.0,276.0,552.0,340.0,552.0,340.0,552.0,340.0,552.0,356.0,552.0,370.0,552.0,296.0,552.0,74.0,552.0,0.0,552.0,83.0,552.0,516.0,552.0,460.0,552.0,71.0,552.0,71.0,552.0,0.0,552.0,0.0,552.0,92.0,552.0,83.0
