,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
11,368.0,116.0,368.0,445.0,368.0,267.0,368.0,368.0,368.0,148.0,368.0,148.0,368.0,1332.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,184.0,368.0,920.0,368.0,148.0,368.0,368.0,368.0,1656.0,368.0,0.0,368.0,94.0,368.0,116.0,368.0,116.0,368.0,0.0,368.0,148.0,368.0,166.0,368.0,320.0,368.0,0.0,368.0,368.0,368.0,320.0
12,368.0,116.0,368.0,89.0,368.0,267.0,368.0,368.0,368.0,267.0,368.0,148.0,368.0,1332.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,92.0,368.0,368.0,368.0,148.0,368.0,276.0,368.0,1656.0,368.0,267.0,368.0,116.0,368.0,116.0,368.0,0.0,368.0,148.0,368.0,148.0,368.0,249.0,368.0,320.0,368.0,160.0,368.0,368.0,368.0,320.0
13,368.0,116.0,368.0,445.0,368.0,267.0,368.0,368.0,368.0,148.0,368.0,148.0,368.0,444.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,184.0,368.0,368.0,368.0,666.0,368.0,368.0,368.0,1656.0,368.0,267.0,368.0,116.0,368.0,29.0,368.0,116.0,368.0,148.0,368.0,148.0,368.0,249.0,368.0,320.0,368.0,160.0,368.0,0.0,368.0,320.0
14,368.0,116.0,368.0,445.0,368.0,267.0,368.0,368.0,368.0,148.0,368.0,148.0,368.0,1332.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,184.0,368.0,368.0,368.0,148.0,368.0,368.0,368.0,276.0,368.0,801.0,368.0,296.0,368.0,116.0,368.0,116.0,368.0,148.0,368.0,148.0,368.0,249.0,368.0,320.0,368.0,320.0,368.0,368.0,368.0,920.0
15,368.0,116.0,368.0,445.0,368.0,267.0,368.0,368.0,368.0,148.0,368.0,148.0,368.0,1184.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,0.0,368.0,368.0,368.0,148.0,368.0,368.0,368.0,644.0,368.0,267.0,368.0,116.0,368.0,116.0,368.0,116.0,368.0,148.0,368.0,0.0,368.0,249.0,368.0,320.0,368.0,0.0,368.0,0.0,368.0,320.0
16,368.0,116.0,368.0,445.0,368.0,267.0,368.0,368.0,368.0,1184.0,368.0,148.0,368.0,1332.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,184.0,368.0,92.0,368.0,148.0,368.0,368.0,368.0,1656.0,368.0,267.0,368.0,116.0,368.0,116.0,368.0,142.0,368.0,0.0,368.0,148.0,368.0,249.0,368.0,320.0,368.0,720.0,368.0,368.0,368.0,320.0
17,368.0,116.0,368.0,445.0,368.0,267.0,368.0,368.0,368.0,148.0,368.0,148.0,368.0,1332.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,184.0,368.0,368.0,368.0,148.0,368.0,368.0,368.0,1656.0,368.0,267.0,368.0,116.0,368.0,116.0,368.0,368.0,368.0,148.0,368.0,148.0,368.0,581.0,368.0,224.0,368.0,80.0,368.0,368.0,368.0,320.0
18,368.0,116.0,368.0,445.0,368.0,267.0,368.0,368.0,368.0,184.0,368.0,148.0,368.0,740.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,184.0,368.0,368.0,368.0,148.0,368.0,368.0,368.0,1656.0,368.0,267.0,368.0,116.0,368.0,116.0,368.0,368.0,368.0,148.0,368.0,148.0,368.0,249.0,368.0,320.0,368.0,320.0,368.0,368.0,368.0,320.0
19,368.0,116.0,368.0,445.0,368.0,267.0,368.0,368.0,368.0,148.0,368.0,148.0,368.0,1494.0,368.0,666.0,368.0,249.0,368.0,249.0,368.0,0.0,368.0,368.0,368.0,0.0,368.0,368.0,368.0,184.0,368.0,267.0,368.0,116.0,368.0,116.0,368.0,0.0,368.0,148.0,368.0,148.0,368.0,249.0,368.0,83.0,368.0,320.0,368.0,368.0,368.0,320.0
20,368.0,116.0,368.0,445.0,368.0,267.0,368.0,644.0,368.0,148.0,368.0,148.0,368.0,1332.0,368.0,1332.0,368.0,249.0,368.0,249.0,368.0,276.0,368.0,552.0,368.0,148.0,368.0,368.0,368.0,1656.0,368.0,0.0,368.0,116.0,368.0,116.0,368.0,368.0,368.0,148.0,368.0,148.0,368.0,249.0,368.0,480.0,368.0,400.0,368.0,368.0,368.0,320.0
