,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
10,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,0.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,204.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,498.0,92.0,498.0,92.0,92.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,408.0,92.0,0.0,92.0,276.0,92.0,172.0
11,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,476.0,92.0,430.0,92.0,498.0,92.0,498.0,92.0,0.0,92.0,92.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,408.0,92.0,92.0,92.0,276.0,92.0,172.0
12,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,498.0,92.0,498.0,92.0,92.0,92.0,774.0,92.0,0.0,92.0,92.0,92.0,408.0,92.0,92.0,92.0,276.0,92.0,172.0
13,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,83.0,92.0,498.0,92.0,498.0,92.0,92.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,276.0,92.0,828.0,92.0,276.0,92.0,172.0
14,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,184.0,92.0,86.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,332.0,92.0,498.0,92.0,498.0,92.0,92.0,92.0,172.0,92.0,276.0,92.0,828.0,92.0,0.0,92.0,92.0,92.0,276.0,92.0,172.0
15,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,774.0,92.0,204.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,498.0,92.0,178.0,92.0,92.0,92.0,172.0,92.0,0.0,92.0,368.0,92.0,267.0,92.0,828.0,92.0,276.0,92.0,172.0
16,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,344.0,92.0,408.0,92.0,476.0,92.0,136.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,498.0,92.0,415.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,92.0,92.0,89.0,92.0,368.0,92.0,276.0,92.0,172.0
17,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,415.0,92.0,498.0,92.0,0.0,92.0,92.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,276.0,92.0,1118.0
18,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,0.0,92.0,498.0,92.0,498.0,92.0,0.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,276.0,92.0,172.0
19,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,408.0,92.0,408.0,92.0,544.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,498.0,92.0,0.0,92.0,92.0,92.0,516.0,92.0,0.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,276.0,92.0,172.0
20,92.0,1246.0,92.0,534.0,92.0,602.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,408.0,92.0,408.0,92.0,272.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,498.0,92.0,415.0,92.0,92.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,89.0,92.0,184.0,92.0,184.0,92.0,0.0
21,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,408.0,92.0,272.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,0.0,92.0,498.0,92.0,498.0,92.0,0.0,92.0,92.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,276.0,92.0,172.0
22,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,0.0,92.0,408.0,92.0,408.0,92.0,544.0,92.0,890.0,92.0,430.0,92.0,0.0,92.0,498.0,92.0,0.0,92.0,0.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,89.0,92.0,644.0,92.0,276.0,92.0,344.0
23,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,89.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,581.0,92.0,498.0,92.0,0.0,92.0,172.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,276.0,92.0,172.0
24,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,172.0,92.0,498.0,92.0,498.0,92.0,83.0,92.0,172.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,276.0,92.0,172.0
25,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,1162.0,92.0,498.0,92.0,0.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,276.0,92.0,172.0
26,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,172.0,92.0,276.0,92.0,86.0,92.0,204.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,1246.0,92.0,516.0,92.0,498.0,92.0,498.0,92.0,0.0,92.0,172.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,89.0,92.0,847.0,92.0,276.0,92.0,172.0
27,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,258.0,92.0,276.0,92.0,86.0,92.0,104.0,92.0,150.0,92.0,534.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,498.0,92.0,498.0,92.0,154.0,92.0,172.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,356.0,92.0,92.0,92.0,276.0,92.0,172.0
28,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,204.0,92.0,1246.0,92.0,258.0,92.0,92.0,92.0,498.0,92.0,913.0,92.0,0.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,276.0,92.0,172.0
29,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,408.0,92.0,408.0,92.0,408.0,92.0,68.0,92.0,332.0,92.0,430.0,92.0,498.0,92.0,83.0,92.0,415.0,92.0,172.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,0.0,92.0,0.0
30,92.0,1246.0,92.0,534.0,92.0,86.0,92.0,86.0,92.0,276.0,92.0,86.0,92.0,408.0,92.0,408.0,92.0,0.0,92.0,408.0,92.0,1246.0,92.0,430.0,92.0,0.0,92.0,498.0,92.0,581.0,92.0,172.0,92.0,172.0,92.0,0.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,276.0,92.0,172.0
