,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
15,61.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,7.0,61.0,61.0,61.0,15.0,61.0,61.0,61.0,22.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,13.0,61.0,7.0,61.0,70.0,61.0,88.0,61.0,59.0,61.0,37.0,61.0,66.0,61.0,28.0,61.0,150.0,61.0,61.0,61.0,61.0
16,61.0,59.0,61.0,22.0,61.0,61.0,61.0,61.0,61.0,15.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,56.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,13.0,61.0,7.0,61.0,70.0,61.0,88.0,61.0,59.0,61.0,37.0,61.0,30.0,61.0,28.0,61.0,150.0,61.0,61.0,61.0,61.0
17,61.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,13.0,61.0,8.0,61.0,70.0,61.0,88.0,61.0,59.0,61.0,37.0,61.0,66.0,61.0,28.0,61.0,150.0,61.0,61.0,61.0,61.0
18,61.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,21.0,61.0,61.0,61.0,61.0,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,13.0,61.0,7.0,61.0,70.0,61.0,88.0,61.0,59.0,61.0,37.0,61.0,66.0,61.0,28.0,61.0,150.0,61.0,61.0,61.0,61.0
19,61.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,58.0,61.0,61.0,61.0,13.0,61.0,75.0,61.0,70.0,61.0,88.0,61.0,59.0,61.0,71.0,61.0,66.0,61.0,28.0,61.0,150.0,61.0,61.0,61.0,61.0
20,61.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,28.0,61.0,7.0,61.0,70.0,61.0,88.0,61.0,59.0,61.0,24.0,61.0,66.0,61.0,28.0,61.0,150.0,61.0,61.0,61.0,61.0
21,61.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,43.0,61.0,61.0,61.0,66.0,61.0,61.0,61.0,61.0,61.0,28.0,61.0,13.0,61.0,70.0,61.0,88.0,61.0,59.0,61.0,37.0,61.0,66.0,61.0,28.0,61.0,150.0,61.0,61.0,61.0,55.0
22,61.0,59.0,61.0,61.0,61.0,61.0,61.0,26.0,61.0,37.0,61.0,61.0,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,28.0,61.0,7.0,61.0,70.0,61.0,39.0,61.0,59.0,61.0,37.0,61.0,1.0,61.0,28.0,61.0,150.0,61.0,18.0,61.0,61.0
23,61.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,28.0,61.0,27.0,61.0,70.0,61.0,88.0,61.0,59.0,61.0,37.0,61.0,66.0,61.0,28.0,61.0,150.0,61.0,61.0,61.0,61.0
24,61.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,18.0,61.0,61.0,61.0,106.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,28.0,61.0,7.0,61.0,70.0,61.0,88.0,61.0,59.0,61.0,77.0,61.0,66.0,61.0,28.0,61.0,150.0,61.0,61.0,61.0,61.0
25,61.0,59.0,61.0,61.0,61.0,61.0,61.0,54.0,61.0,61.0,61.0,61.0,61.0,18.0,61.0,61.0,61.0,106.0,61.0,61.0,61.0,0.0,61.0,61.0,61.0,28.0,61.0,7.0,61.0,70.0,61.0,88.0,61.0,7.0,61.0,87.0,61.0,22.0,61.0,28.0,61.0,150.0,61.0,61.0,61.0,61.0
26,61.0,59.0,61.0,61.0,61.0,30.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,18.0,61.0,61.0,61.0,106.0,61.0,61.0,61.0,61.0,61.0,32.0,61.0,28.0,61.0,7.0,61.0,70.0,61.0,88.0,61.0,59.0,61.0,44.0,61.0,46.0,61.0,28.0,61.0,150.0,61.0,61.0,61.0,61.0
27,61.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,18.0,61.0,61.0,61.0,106.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,28.0,61.0,7.0,61.0,70.0,61.0,88.0,61.0,59.0,61.0,37.0,61.0,66.0,61.0,28.0,61.0,150.0,61.0,61.0,61.0,61.0
28,61.0,59.0,61.0,89.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,18.0,61.0,61.0,61.0,106.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,28.0,61.0,7.0,61.0,70.0,61.0,88.0,61.0,59.0,61.0,37.0,61.0,66.0,61.0,28.0,61.0,150.0,61.0,61.0,61.0,61.0
29,61.0,59.0,61.0,89.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,18.0,61.0,61.0,61.0,106.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,13.0,61.0,7.0,61.0,70.0,61.0,88.0,61.0,11.0,61.0,37.0,61.0,62.0,61.0,28.0,61.0,150.0,61.0,38.0,61.0,61.0
30,61.0,59.0,61.0,89.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,57.0,61.0,18.0,61.0,61.0,61.0,106.0,61.0,61.0,61.0,61.0,61.0,51.0,61.0,13.0,61.0,7.0,61.0,70.0,61.0,88.0,61.0,59.0,61.0,17.0,61.0,66.0,61.0,28.0,61.0,93.0,61.0,61.0,61.0,61.0
