,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
10,368.0,296.0,368.0,368.0,368.0,296.0,368.0,296.0,368.0,296.0,368.0,178.0,368.0,368.0,368.0,124.0,368.0,868.0,368.0,740.0,368.0,740.0,368.0,888.0,368.0,888.0,368.0,801.0,368.0,801.0,368.0,20.0,368.0,20.0,368.0,20.0,368.0,368.0,368.0,296.0,368.0,368.0,368.0,184.0,368.0,276.0,368.0,368.0,368.0,20.0,368.0,20.0,368.0,890.0,368.0,124.0,368.0,368.0,368.0,83.0,368.0,83.0
11,368.0,296.0,368.0,368.0,368.0,296.0,368.0,296.0,368.0,296.0,368.0,178.0,368.0,368.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,296.0,368.0,888.0,368.0,148.0,368.0,801.0,368.0,801.0,368.0,368.0,368.0,20.0,368.0,20.0,368.0,0.0,368.0,296.0,368.0,368.0,368.0,184.0,368.0,276.0,368.0,368.0,368.0,20.0,368.0,20.0,368.0,1157.0,368.0,124.0,368.0,0.0,368.0,83.0,368.0,83.0
12,368.0,296.0,368.0,368.0,368.0,296.0,368.0,296.0,368.0,296.0,368.0,178.0,368.0,368.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,740.0,368.0,888.0,368.0,888.0,368.0,801.0,368.0,801.0,368.0,20.0,368.0,5.0,368.0,20.0,368.0,460.0,368.0,296.0,368.0,368.0,368.0,184.0,368.0,276.0,368.0,736.0,368.0,20.0,368.0,20.0,368.0,1157.0,368.0,0.0,368.0,178.0,368.0,0.0,368.0,83.0
13,368.0,296.0,368.0,368.0,368.0,296.0,368.0,296.0,368.0,296.0,368.0,178.0,368.0,368.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,740.0,368.0,92.0,368.0,888.0,368.0,920.0,368.0,801.0,368.0,0.0,368.0,20.0,368.0,20.0,368.0,368.0,368.0,296.0,368.0,368.0,368.0,184.0,368.0,276.0,368.0,368.0,368.0,160.0,368.0,20.0,368.0,1157.0,368.0,124.0,368.0,368.0,368.0,332.0,368.0,0.0
14,368.0,296.0,368.0,368.0,368.0,296.0,368.0,296.0,368.0,296.0,368.0,178.0,368.0,368.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,290.0,368.0,888.0,368.0,888.0,368.0,801.0,368.0,0.0,368.0,20.0,368.0,20.0,368.0,20.0,368.0,828.0,368.0,296.0,368.0,368.0,368.0,184.0,368.0,276.0,368.0,368.0,368.0,20.0,368.0,20.0,368.0,1157.0,368.0,325.0,368.0,368.0,368.0,83.0,368.0,83.0
15,368.0,296.0,368.0,368.0,368.0,74.0,368.0,296.0,368.0,296.0,368.0,178.0,368.0,368.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,740.0,368.0,888.0,368.0,888.0,368.0,801.0,368.0,801.0,368.0,20.0,368.0,20.0,368.0,602.0,368.0,184.0,368.0,296.0,368.0,368.0,368.0,184.0,368.0,276.0,368.0,368.0,368.0,20.0,368.0,20.0,368.0,1157.0,368.0,124.0,368.0,368.0,368.0,249.0,368.0,249.0
16,368.0,296.0,368.0,368.0,368.0,296.0,368.0,296.0,368.0,296.0,368.0,178.0,368.0,368.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,740.0,368.0,222.0,368.0,888.0,368.0,801.0,368.0,801.0,368.0,20.0,368.0,20.0,368.0,20.0,368.0,92.0,368.0,296.0,368.0,368.0,368.0,92.0,368.0,276.0,368.0,368.0,368.0,20.0,368.0,20.0,368.0,1157.0,368.0,148.0,368.0,368.0,368.0,332.0,368.0,83.0
17,368.0,296.0,368.0,368.0,368.0,296.0,368.0,296.0,368.0,74.0,368.0,178.0,368.0,368.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,740.0,368.0,888.0,368.0,888.0,368.0,801.0,368.0,712.0,368.0,20.0,368.0,20.0,368.0,20.0,368.0,368.0,368.0,296.0,368.0,368.0,368.0,0.0,368.0,276.0,368.0,368.0,368.0,20.0,368.0,20.0,368.0,1157.0,368.0,62.0,368.0,368.0,368.0,498.0,368.0,415.0
18,368.0,296.0,368.0,368.0,368.0,296.0,368.0,296.0,368.0,296.0,368.0,178.0,368.0,368.0,368.0,124.0,368.0,124.0,368.0,740.0,368.0,740.0,368.0,888.0,368.0,888.0,368.0,801.0,368.0,801.0,368.0,20.0,368.0,20.0,368.0,35.0,368.0,368.0,368.0,296.0,368.0,368.0,368.0,184.0,368.0,276.0,368.0,368.0,368.0,20.0,368.0,20.0,368.0,1157.0,368.0,124.0,368.0,368.0,368.0,118.0,368.0,83.0
19,368.0,296.0,368.0,368.0,368.0,296.0,368.0,296.0,368.0,296.0,368.0,178.0,368.0,736.0,368.0,124.0,368.0,124.0,368.0,518.0,368.0,740.0,368.0,888.0,368.0,888.0,368.0,801.0,368.0,801.0,368.0,20.0,368.0,20.0,368.0,20.0,368.0,368.0,368.0,296.0,368.0,368.0,368.0,184.0,368.0,184.0,368.0,368.0,368.0,20.0,368.0,20.0,368.0,1157.0,368.0,124.0,368.0,368.0,368.0,92.0,368.0,83.0
