,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
10,828.0,18.0,828.0,890.0,828.0,890.0,828.0,890.0,828.0,1068.0,828.0,828.0,828.0,267.0,828.0,89.0,828.0,178.0,828.0,267.0,828.0,267.0,828.0,828.0,828.0,18.0,828.0,0.0,828.0,356.0,828.0,18.0,828.0,828.0,828.0,1012.0,828.0,1104.0,828.0,828.0,828.0,4.0,828.0,48.0,828.0,4.0,828.0,4.0,828.0,4.0,828.0,828.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,89.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,801.0
11,828.0,18.0,828.0,890.0,828.0,890.0,828.0,890.0,828.0,1068.0,828.0,828.0,828.0,267.0,828.0,89.0,828.0,89.0,828.0,267.0,828.0,267.0,828.0,828.0,828.0,18.0,828.0,126.0,828.0,18.0,828.0,18.0,828.0,828.0,828.0,0.0,828.0,1104.0,828.0,368.0,828.0,4.0,828.0,14.0,828.0,0.0,828.0,4.0,828.0,539.0,828.0,828.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,0.0,828.0,828.0,828.0,89.0,828.0,4.0,828.0,2.0,828.0,2.0,828.0,890.0
12,828.0,18.0,828.0,890.0,828.0,890.0,828.0,890.0,828.0,1068.0,828.0,828.0,828.0,267.0,828.0,89.0,828.0,89.0,828.0,267.0,828.0,267.0,828.0,92.0,828.0,0.0,828.0,0.0,828.0,18.0,828.0,0.0,828.0,828.0,828.0,828.0,828.0,1104.0,828.0,368.0,828.0,8.0,828.0,4.0,828.0,4.0,828.0,50.0,828.0,4.0,828.0,828.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,89.0,828.0,150.0,828.0,2.0,828.0,50.0,828.0,890.0
13,828.0,18.0,828.0,890.0,828.0,890.0,828.0,890.0,828.0,1068.0,828.0,828.0,828.0,356.0,828.0,0.0,828.0,89.0,828.0,267.0,828.0,0.0,828.0,828.0,828.0,18.0,828.0,18.0,828.0,18.0,828.0,18.0,828.0,828.0,828.0,828.0,828.0,1104.0,828.0,415.0,828.0,4.0,828.0,2.0,828.0,36.0,828.0,4.0,828.0,4.0,828.0,828.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,89.0,828.0,814.0,828.0,2.0,828.0,2.0,828.0,890.0
14,828.0,18.0,828.0,890.0,828.0,890.0,828.0,890.0,828.0,1068.0,828.0,368.0,828.0,267.0,828.0,89.0,828.0,89.0,828.0,267.0,828.0,267.0,828.0,828.0,828.0,14.0,828.0,18.0,828.0,18.0,828.0,18.0,828.0,828.0,828.0,828.0,828.0,539.0,828.0,828.0,828.0,235.0,828.0,4.0,828.0,4.0,828.0,4.0,828.0,0.0,828.0,644.0,828.0,740.0,828.0,1012.0,828.0,0.0,828.0,18.0,828.0,89.0,828.0,89.0,828.0,2.0,828.0,2.0,828.0,184.0,828.0,890.0
15,828.0,18.0,828.0,890.0,828.0,890.0,828.0,890.0,828.0,1068.0,828.0,828.0,828.0,267.0,828.0,534.0,828.0,320.0,828.0,267.0,828.0,267.0,828.0,828.0,828.0,18.0,828.0,18.0,828.0,18.0,828.0,18.0,828.0,828.0,828.0,1012.0,828.0,1104.0,828.0,828.0,828.0,0.0,828.0,4.0,828.0,44.0,828.0,22.0,828.0,0.0,828.0,828.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,267.0,828.0,0.0,828.0,2.0,828.0,4.0,828.0,890.0
16,828.0,18.0,828.0,890.0,828.0,890.0,828.0,890.0,828.0,1068.0,828.0,828.0,828.0,267.0,828.0,89.0,828.0,89.0,828.0,267.0,828.0,267.0,828.0,828.0,828.0,18.0,828.0,148.0,828.0,18.0,828.0,0.0,828.0,828.0,828.0,828.0,828.0,1104.0,828.0,828.0,828.0,0.0,828.0,4.0,828.0,4.0,828.0,14.0,828.0,4.0,828.0,828.0,828.0,592.0,828.0,592.0,828.0,92.0,828.0,4.0,828.0,828.0,828.0,0.0,828.0,26.0,828.0,2.0,828.0,2.0,828.0,890.0
17,828.0,18.0,828.0,890.0,828.0,890.0,828.0,890.0,828.0,445.0,828.0,828.0,828.0,267.0,828.0,89.0,828.0,1068.0,828.0,0.0,828.0,267.0,828.0,828.0,828.0,18.0,828.0,620.0,828.0,18.0,828.0,18.0,828.0,801.0,828.0,828.0,828.0,1104.0,828.0,828.0,828.0,18.0,828.0,52.0,828.0,4.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,89.0,828.0,35.0,828.0,2.0,828.0,2.0,828.0,890.0
18,828.0,18.0,828.0,74.0,828.0,890.0,828.0,890.0,828.0,1068.0,828.0,828.0,828.0,267.0,828.0,89.0,828.0,89.0,828.0,267.0,828.0,267.0,828.0,828.0,828.0,18.0,828.0,18.0,828.0,18.0,828.0,12.0,828.0,828.0,828.0,828.0,828.0,1104.0,828.0,92.0,828.0,26.0,828.0,2.0,828.0,222.0,828.0,4.0,828.0,6.0,828.0,828.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,4.0,828.0,1012.0,828.0,89.0,828.0,2.0,828.0,82.0,828.0,2.0,828.0,890.0
19,828.0,18.0,828.0,890.0,828.0,890.0,828.0,890.0,828.0,1068.0,828.0,828.0,828.0,979.0,828.0,89.0,828.0,89.0,828.0,2.0,828.0,267.0,828.0,828.0,828.0,8.0,828.0,18.0,828.0,6.0,828.0,18.0,828.0,828.0,828.0,828.0,828.0,1380.0,828.0,1656.0,828.0,0.0,828.0,2.0,828.0,22.0,828.0,4.0,828.0,4.0,828.0,828.0,828.0,592.0,828.0,592.0,828.0,0.0,828.0,2.0,828.0,828.0,828.0,0.0,828.0,0.0,828.0,2.0,828.0,2.0,828.0,890.0
20,828.0,18.0,828.0,890.0,828.0,890.0,828.0,890.0,828.0,1157.0,828.0,828.0,828.0,267.0,828.0,0.0,828.0,89.0,828.0,356.0,828.0,267.0,828.0,184.0,828.0,18.0,828.0,18.0,828.0,18.0,828.0,18.0,828.0,644.0,828.0,828.0,828.0,1104.0,828.0,828.0,828.0,4.0,828.0,2.0,828.0,8.0,828.0,4.0,828.0,4.0,828.0,828.0,828.0,592.0,828.0,774.0,828.0,0.0,828.0,82.0,828.0,828.0,828.0,0.0,828.0,852.0,828.0,2.0,828.0,2.0,828.0,623.0
21,828.0,18.0,828.0,890.0,828.0,890.0,828.0,890.0,828.0,1068.0,828.0,230.0,828.0,267.0,828.0,267.0,828.0,89.0,828.0,267.0,828.0,267.0,828.0,828.0,828.0,20.0,828.0,18.0,828.0,18.0,828.0,0.0,828.0,828.0,828.0,828.0,828.0,0.0,828.0,828.0,828.0,4.0,828.0,2.0,828.0,4.0,828.0,4.0,828.0,4.0,828.0,828.0,828.0,592.0,828.0,370.0,828.0,0.0,828.0,4.0,828.0,828.0,828.0,0.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,178.0
22,828.0,18.0,828.0,979.0,828.0,890.0,828.0,890.0,828.0,1068.0,828.0,828.0,828.0,267.0,828.0,89.0,828.0,89.0,828.0,178.0,828.0,267.0,828.0,828.0,828.0,18.0,828.0,18.0,828.0,18.0,828.0,18.0,828.0,828.0,828.0,828.0,828.0,1104.0,828.0,1288.0,828.0,180.0,828.0,2.0,828.0,4.0,828.0,4.0,828.0,4.0,828.0,1196.0,828.0,592.0,828.0,276.0,828.0,249.0,828.0,4.0,828.0,460.0,828.0,0.0,828.0,89.0,828.0,2.0,828.0,0.0,828.0,890.0
