,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
10,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,814.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,350.0,828.0,92.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,50.0,828.0,6.0,828.0,50.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,10.0,828.0,5.0,828.0,5.0,828.0,534.0,828.0,10.0,828.0,10.0,828.0,644.0,828.0,2.0,828.0,38.0,828.0,38.0
11,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,6.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,644.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,100.0,828.0,150.0,828.0,400.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,276.0,828.0,69.0,828.0,69.0,828.0,6.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,10.0,828.0,0.0,828.0,5.0,828.0,276.0,828.0,10.0,828.0,35.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,38.0
12,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,0.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,20.0,828.0,140.0,828.0,828.0,828.0,0.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,623.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,712.0,828.0,69.0,828.0,6.0,828.0,195.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,10.0,828.0,5.0,828.0,5.0,828.0,10.0,828.0,136.0,828.0,20.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,0.0
13,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,14.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,267.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,23.0,828.0,69.0,828.0,6.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,10.0,828.0,5.0,828.0,5.0,828.0,222.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,38.0
14,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,16.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,14.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,534.0,828.0,69.0,828.0,69.0,828.0,6.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,10.0,828.0,74.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,644.0,828.0,2.0,828.0,38.0,828.0,38.0
15,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,26.0,828.0,2.0,828.0,2.0,828.0,8.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,0.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,83.0,828.0,89.0,828.0,69.0,828.0,0.0,828.0,16.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,70.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,38.0
16,828.0,1380.0,828.0,178.0,828.0,644.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,0.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,50.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,184.0,828.0,69.0,828.0,6.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,10.0,828.0,5.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,38.0
17,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,390.0,828.0,2.0,828.0,92.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,300.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,69.0,828.0,6.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,10.0,828.0,5.0,828.0,50.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,828.0,828.0,2.0,828.0,38.0,828.0,644.0
18,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,5.0,828.0,26.0,828.0,0.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,450.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,550.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,0.0,828.0,69.0,828.0,69.0,828.0,276.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,5.0,828.0,5.0,828.0,20.0,828.0,10.0,828.0,0.0,828.0,10.0,828.0,736.0,828.0,2.0,828.0,38.0,828.0,644.0
19,828.0,1380.0,828.0,178.0,828.0,828.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,5.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,140.0,828.0,140.0,828.0,140.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,350.0,828.0,450.0,828.0,150.0,828.0,150.0,828.0,150.0,828.0,644.0,828.0,184.0,828.0,89.0,828.0,89.0,828.0,69.0,828.0,69.0,828.0,40.0,828.0,6.0,828.0,140.0,828.0,828.0,828.0,5.0,828.0,231.0,828.0,5.0,828.0,5.0,828.0,10.0,828.0,10.0,828.0,10.0,828.0,736.0,828.0,2.0,828.0,38.0,828.0,828.0
