,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1769,,979.0,,92.0,445.0,92.0,445.0,86.0,445.0,92.0,445.0,92.0,445.0,267.0,445.0,688.0,445.0,445.0,445.0,267.0,445.0,92.0,445.0,276.0,445.0,267.0,445.0,0.0,445.0,267.0,445.0,0.0,445.0,92.0,445.0,,445.0,
1770,,979.0,,92.0,267.0,92.0,267.0,86.0,267.0,92.0,267.0,92.0,267.0,267.0,267.0,688.0,267.0,445.0,267.0,267.0,267.0,92.0,267.0,92.0,267.0,267.0,267.0,0.0,267.0,1424.0,267.0,92.0,267.0,92.0,267.0,,267.0,
1771,,979.0,,92.0,445.0,92.0,445.0,86.0,445.0,0.0,445.0,92.0,445.0,267.0,445.0,688.0,445.0,445.0,445.0,267.0,445.0,92.0,445.0,92.0,445.0,267.0,445.0,0.0,445.0,267.0,445.0,92.0,445.0,92.0,445.0,,445.0,
1772,,979.0,,92.0,445.0,92.0,445.0,86.0,445.0,368.0,445.0,92.0,445.0,0.0,445.0,688.0,445.0,267.0,445.0,267.0,445.0,92.0,445.0,92.0,445.0,267.0,445.0,0.0,445.0,267.0,445.0,92.0,445.0,92.0,445.0,,445.0,
1773,,979.0,,92.0,445.0,92.0,445.0,86.0,445.0,92.0,445.0,92.0,445.0,89.0,445.0,688.0,445.0,534.0,445.0,267.0,445.0,92.0,445.0,92.0,445.0,267.0,445.0,0.0,445.0,267.0,445.0,92.0,445.0,92.0,445.0,,445.0,
1774,,979.0,,92.0,445.0,92.0,445.0,86.0,445.0,92.0,445.0,92.0,445.0,267.0,445.0,688.0,445.0,445.0,445.0,267.0,445.0,92.0,445.0,92.0,445.0,267.0,445.0,0.0,445.0,267.0,445.0,92.0,445.0,92.0,445.0,,445.0,
1775,,979.0,,92.0,445.0,92.0,445.0,86.0,445.0,92.0,445.0,92.0,445.0,267.0,445.0,688.0,445.0,0.0,445.0,267.0,445.0,92.0,445.0,92.0,445.0,267.0,445.0,0.0,445.0,267.0,445.0,92.0,445.0,92.0,445.0,,445.0,
1776,,979.0,,92.0,445.0,92.0,445.0,86.0,445.0,92.0,445.0,92.0,445.0,267.0,445.0,688.0,445.0,445.0,445.0,267.0,445.0,92.0,445.0,92.0,445.0,267.0,445.0,0.0,445.0,267.0,445.0,92.0,445.0,92.0,445.0,,445.0,
1777,,979.0,,92.0,445.0,92.0,445.0,86.0,445.0,92.0,445.0,92.0,445.0,370.0,445.0,0.0,445.0,445.0,445.0,623.0,445.0,92.0,445.0,92.0,445.0,267.0,445.0,0.0,445.0,267.0,445.0,92.0,445.0,92.0,445.0,,445.0,
1778,,979.0,,92.0,445.0,92.0,445.0,86.0,445.0,184.0,445.0,92.0,445.0,688.0,445.0,688.0,445.0,534.0,445.0,267.0,445.0,92.0,445.0,644.0,445.0,267.0,445.0,0.0,445.0,267.0,445.0,92.0,445.0,92.0,445.0,,445.0,
