,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
10,828.0,801.0,828.0,828.0,828.0,801.0,828.0,801.0,828.0,801.0,828.0,828.0,828.0,234.0,828.0,234.0,828.0,222.0,828.0,148.0,828.0,888.0,828.0,368.0,828.0,828.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,276.0,828.0,639.0,828.0,276.0,828.0,276.0,828.0,534.0,828.0,2.0,828.0,2.0,828.0,445.0,828.0,2.0,828.0,2.0,828.0,26.0,828.0,10.0,828.0,6.0,828.0,4.0,828.0,6.0,828.0,0.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,445.0,828.0,14.0,828.0,22.0,828.0,187.0,828.0,1204.0,828.0,0.0,828.0,80.0,828.0,888.0,828.0,11.0,828.0,0.0,828.0,0.0,828.0,5.0,828.0,0.0,828.0,0.0
11,828.0,801.0,828.0,276.0,828.0,801.0,828.0,801.0,828.0,801.0,828.0,828.0,828.0,92.0,828.0,450.0,828.0,888.0,828.0,0.0,828.0,888.0,828.0,828.0,828.0,828.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,276.0,828.0,276.0,828.0,534.0,828.0,8.0,828.0,36.0,828.0,2.0,828.0,445.0,828.0,0.0,828.0,0.0,828.0,0.0,828.0,2.0,828.0,0.0,828.0,89.0,828.0,231.0,828.0,26.0,828.0,2.0,828.0,2.0,828.0,445.0,828.0,82.0,828.0,276.0,828.0,187.0,828.0,11.0,828.0,1290.0,828.0,88.0,828.0,888.0,828.0,11.0,828.0,0.0,828.0,0.0,828.0,50.0,828.0,0.0,828.0,0.0
12,828.0,801.0,828.0,828.0,828.0,801.0,828.0,801.0,828.0,801.0,828.0,828.0,828.0,234.0,828.0,234.0,828.0,888.0,828.0,0.0,828.0,888.0,828.0,828.0,828.0,828.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,426.0,828.0,639.0,828.0,276.0,828.0,1380.0,828.0,26.0,828.0,2.0,828.0,34.0,828.0,0.0,828.0,40.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,2.0,828.0,184.0,828.0,82.0,828.0,0.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,445.0,828.0,0.0,828.0,516.0,828.0,187.0,828.0,11.0,828.0,35.0,828.0,11.0,828.0,222.0,828.0,11.0,828.0,5.0,828.0,500.0,828.0,0.0,828.0,0.0,828.0,0.0
13,828.0,801.0,828.0,828.0,828.0,801.0,828.0,0.0,828.0,801.0,828.0,828.0,828.0,234.0,828.0,234.0,828.0,666.0,828.0,888.0,828.0,888.0,828.0,828.0,828.0,276.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,568.0,828.0,639.0,828.0,368.0,828.0,276.0,828.0,534.0,828.0,2.0,828.0,0.0,828.0,0.0,828.0,8.0,828.0,4.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,10.0,828.0,88.0,828.0,184.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,178.0,828.0,0.0,828.0,320.0,828.0,187.0,828.0,89.0,828.0,22.0,828.0,14.0,828.0,444.0,828.0,11.0,828.0,20.0,828.0,0.0,828.0,0.0,828.0,0.0,828.0,0.0
14,828.0,801.0,828.0,828.0,828.0,623.0,828.0,801.0,828.0,801.0,828.0,828.0,828.0,234.0,828.0,234.0,828.0,184.0,828.0,888.0,828.0,888.0,828.0,828.0,828.0,801.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,276.0,828.0,276.0,828.0,534.0,828.0,0.0,828.0,2.0,828.0,17.0,828.0,188.0,828.0,0.0,828.0,0.0,828.0,22.0,828.0,8.0,828.0,2.0,828.0,60.0,828.0,2.0,828.0,0.0,828.0,2.0,828.0,26.0,828.0,89.0,828.0,0.0,828.0,22.0,828.0,187.0,828.0,736.0,828.0,296.0,828.0,99.0,828.0,888.0,828.0,11.0,828.0,0.0,828.0,0.0,828.0,0.0,828.0,92.0,828.0,0.0
15,828.0,801.0,828.0,828.0,828.0,712.0,828.0,801.0,828.0,801.0,828.0,828.0,828.0,234.0,828.0,234.0,828.0,888.0,828.0,888.0,828.0,888.0,828.0,1104.0,828.0,828.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,276.0,828.0,0.0,828.0,534.0,828.0,8.0,828.0,0.0,828.0,2.0,828.0,26.0,828.0,54.0,828.0,2.0,828.0,0.0,828.0,2.0,828.0,6.0,828.0,6.0,828.0,598.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,445.0,828.0,0.0,828.0,213.0,828.0,187.0,828.0,11.0,828.0,88.0,828.0,11.0,828.0,888.0,828.0,11.0,828.0,95.0,828.0,1634.0,828.0,0.0,828.0,0.0,828.0,0.0
16,828.0,801.0,828.0,828.0,828.0,801.0,828.0,801.0,828.0,979.0,828.0,828.0,828.0,234.0,828.0,234.0,828.0,888.0,828.0,888.0,828.0,888.0,828.0,828.0,828.0,534.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,0.0,828.0,639.0,828.0,276.0,828.0,276.0,828.0,534.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,390.0,828.0,92.0,828.0,0.0,828.0,2.0,828.0,26.0,828.0,2.0,828.0,74.0,828.0,2.0,828.0,8.0,828.0,445.0,828.0,26.0,828.0,22.0,828.0,187.0,828.0,11.0,828.0,11.0,828.0,11.0,828.0,888.0,828.0,11.0,828.0,710.0,828.0,86.0,828.0,261.0,828.0,0.0,828.0,0.0
17,828.0,801.0,828.0,920.0,828.0,801.0,828.0,801.0,828.0,801.0,828.0,828.0,828.0,234.0,828.0,234.0,828.0,888.0,828.0,888.0,828.0,888.0,828.0,828.0,828.0,184.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,516.0,828.0,639.0,828.0,276.0,828.0,828.0,828.0,534.0,828.0,0.0,828.0,445.0,828.0,26.0,828.0,2.0,828.0,14.0,828.0,0.0,828.0,0.0,828.0,38.0,828.0,2.0,828.0,2.0,828.0,600.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,445.0,828.0,0.0,828.0,276.0,828.0,187.0,828.0,740.0,828.0,11.0,828.0,11.0,828.0,888.0,828.0,11.0,828.0,0.0,828.0,0.0,828.0,50.0,828.0,86.0,828.0,0.0
18,828.0,801.0,828.0,828.0,828.0,801.0,828.0,623.0,828.0,801.0,828.0,828.0,828.0,234.0,828.0,234.0,828.0,888.0,828.0,888.0,828.0,888.0,828.0,828.0,828.0,184.0,828.0,184.0,828.0,828.0,828.0,639.0,828.0,639.0,828.0,639.0,828.0,276.0,828.0,89.0,828.0,534.0,828.0,0.0,828.0,2.0,828.0,50.0,828.0,2.0,828.0,2.0,828.0,516.0,828.0,1104.0,828.0,2.0,828.0,2.0,828.0,0.0,828.0,6.0,828.0,30.0,828.0,2.0,828.0,0.0,828.0,445.0,828.0,10.0,828.0,8.0,828.0,187.0,828.0,11.0,828.0,22.0,828.0,11.0,828.0,888.0,828.0,11.0,828.0,0.0,828.0,10.0,828.0,75.0,828.0,0.0,828.0,5.0
19,828.0,801.0,828.0,828.0,828.0,356.0,828.0,801.0,828.0,801.0,828.0,828.0,828.0,234.0,828.0,234.0,828.0,888.0,828.0,888.0,828.0,888.0,828.0,828.0,828.0,184.0,828.0,184.0,828.0,639.0,828.0,639.0,828.0,284.0,828.0,639.0,828.0,276.0,828.0,276.0,828.0,534.0,828.0,4.0,828.0,42.0,828.0,2.0,828.0,2.0,828.0,92.0,828.0,4.0,828.0,2.0,828.0,2.0,828.0,175.0,828.0,258.0,828.0,0.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,445.0,828.0,92.0,828.0,41.0,828.0,187.0,828.0,408.0,828.0,11.0,828.0,11.0,828.0,888.0,828.0,11.0,828.0,0.0,828.0,40.0,828.0,0.0,828.0,0.0,828.0,0.0
