,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
19,92.0,712.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,89.0,92.0,184.0,92.0,0.0
20,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,736.0,92.0,92.0,92.0,460.0,92.0,0.0,92.0,89.0,92.0,534.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,0.0,92.0,89.0
21,92.0,712.0,92.0,0.0,92.0,92.0,92.0,89.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,368.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,581.0,92.0,184.0,92.0,0.0,92.0,89.0
22,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,0.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,828.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,581.0,92.0,92.0,92.0,644.0,92.0,89.0
23,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,267.0,92.0,1246.0,92.0,92.0,92.0,581.0,92.0,92.0,92.0,1196.0,92.0,89.0
24,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,89.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,664.0,92.0,92.0,92.0,460.0,92.0,89.0
25,92.0,712.0,92.0,0.0,92.0,0.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,518.0,92.0,184.0,92.0,92.0,92.0,0.0,92.0,89.0,92.0,890.0,92.0,92.0,92.0,581.0,92.0,92.0,92.0,712.0,92.0,89.0
26,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,0.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,1246.0,92.0,92.0,92.0,581.0,92.0,92.0,92.0,1288.0,92.0,89.0
27,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,712.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,445.0,92.0,1246.0,92.0,92.0,92.0,581.0,92.0,92.0,92.0,1288.0,92.0,89.0
28,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,184.0,92.0,0.0,92.0,0.0,92.0,1246.0,92.0,92.0,92.0,581.0,92.0,92.0,92.0,276.0,92.0,89.0
29,92.0,712.0,92.0,92.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,1246.0,92.0,92.0,92.0,0.0,92.0,92.0,92.0,644.0,92.0,89.0
30,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,1246.0,92.0,92.0,92.0,581.0,92.0,92.0,92.0,332.0,92.0,89.0
31,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,0.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,1246.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,644.0,92.0,0.0
32,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,581.0,92.0,92.0,92.0,368.0,92.0,89.0
33,92.0,712.0,92.0,0.0,92.0,92.0,92.0,83.0,92.0,92.0,92.0,368.0,92.0,623.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,89.0,92.0,1246.0,92.0,92.0,92.0,581.0,92.0,92.0,92.0,890.0,92.0,89.0
