,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
10,828.0,801.0,828.0,89.0,828.0,89.0,828.0,639.0,828.0,623.0,828.0,639.0,828.0,828.0,828.0,1068.0,828.0,355.0,828.0,1136.0,828.0,1088.0,828.0,1136.0,828.0,828.0,828.0,356.0,828.0,1136.0,828.0,1136.0,828.0,2.0,828.0,0.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,828.0,828.0,828.0,828.0,355.0,828.0,0.0,828.0,828.0,828.0,639.0,828.0,774.0,828.0,130.0,828.0,0.0,828.0,650.0,828.0,130.0,828.0,1068.0,828.0,0.0,828.0,0.0,828.0,45.0,828.0,70.0,828.0,71.0
11,828.0,801.0,828.0,89.0,828.0,89.0,828.0,639.0,828.0,623.0,828.0,639.0,828.0,828.0,828.0,1068.0,828.0,267.0,828.0,1136.0,828.0,1136.0,828.0,923.0,828.0,828.0,828.0,356.0,828.0,1136.0,828.0,1136.0,828.0,4.0,828.0,2.0,828.0,1235.0,828.0,2.0,828.0,2.0,828.0,828.0,828.0,828.0,828.0,355.0,828.0,0.0,828.0,828.0,828.0,639.0,828.0,774.0,828.0,130.0,828.0,0.0,828.0,910.0,828.0,184.0,828.0,1068.0,828.0,552.0,828.0,0.0,828.0,45.0,828.0,70.0,828.0,639.0
12,828.0,801.0,828.0,89.0,828.0,89.0,828.0,710.0,828.0,623.0,828.0,639.0,828.0,828.0,828.0,1068.0,828.0,355.0,828.0,1136.0,828.0,1136.0,828.0,1136.0,828.0,828.0,828.0,356.0,828.0,1136.0,828.0,516.0,828.0,130.0,828.0,8.0,828.0,2.0,828.0,2.0,828.0,100.0,828.0,828.0,828.0,828.0,828.0,355.0,828.0,0.0,828.0,828.0,828.0,639.0,828.0,774.0,828.0,1036.0,828.0,184.0,828.0,910.0,828.0,130.0,828.0,623.0,828.0,75.0,828.0,640.0,828.0,45.0,828.0,70.0,828.0,639.0
13,828.0,801.0,828.0,89.0,828.0,89.0,828.0,639.0,828.0,623.0,828.0,639.0,828.0,828.0,828.0,1068.0,828.0,355.0,828.0,1136.0,828.0,1136.0,828.0,142.0,828.0,0.0,828.0,356.0,828.0,1136.0,828.0,1136.0,828.0,100.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,828.0,828.0,828.0,828.0,355.0,828.0,0.0,828.0,828.0,828.0,639.0,828.0,774.0,828.0,390.0,828.0,520.0,828.0,130.0,828.0,0.0,828.0,1068.0,828.0,89.0,828.0,15.0,828.0,45.0,828.0,70.0,828.0,639.0
14,828.0,801.0,828.0,89.0,828.0,89.0,828.0,639.0,828.0,623.0,828.0,639.0,828.0,828.0,828.0,1068.0,828.0,355.0,828.0,1136.0,828.0,1136.0,828.0,1136.0,828.0,92.0,828.0,356.0,828.0,1136.0,828.0,1136.0,828.0,32.0,828.0,4.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,828.0,828.0,552.0,828.0,497.0,828.0,0.0,828.0,828.0,828.0,639.0,828.0,0.0,828.0,130.0,828.0,132.0,828.0,130.0,828.0,845.0,828.0,1068.0,828.0,518.0,828.0,50.0,828.0,45.0,828.0,70.0,828.0,781.0
15,828.0,801.0,828.0,89.0,828.0,89.0,828.0,639.0,828.0,623.0,828.0,639.0,828.0,828.0,828.0,1068.0,828.0,1065.0,828.0,1136.0,828.0,1136.0,828.0,1136.0,828.0,552.0,828.0,356.0,828.0,1136.0,828.0,1136.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,828.0,828.0,1104.0,828.0,355.0,828.0,0.0,828.0,828.0,828.0,639.0,828.0,774.0,828.0,0.0,828.0,0.0,828.0,130.0,828.0,130.0,828.0,1068.0,828.0,0.0,828.0,30.0,828.0,45.0,828.0,70.0,828.0,639.0
16,828.0,801.0,828.0,89.0,828.0,89.0,828.0,639.0,828.0,623.0,828.0,639.0,828.0,828.0,828.0,1068.0,828.0,710.0,828.0,1420.0,828.0,1136.0,828.0,1136.0,828.0,83.0,828.0,356.0,828.0,1136.0,828.0,1136.0,828.0,30.0,828.0,4.0,828.0,2.0,828.0,2.0,828.0,100.0,828.0,828.0,828.0,736.0,828.0,355.0,828.0,0.0,828.0,0.0,828.0,142.0,828.0,774.0,828.0,130.0,828.0,0.0,828.0,1136.0,828.0,130.0,828.0,1068.0,828.0,65.0,828.0,736.0,828.0,45.0,828.0,70.0,828.0,639.0
17,828.0,801.0,828.0,89.0,828.0,89.0,828.0,639.0,828.0,623.0,828.0,639.0,828.0,828.0,828.0,623.0,828.0,355.0,828.0,1136.0,828.0,1088.0,828.0,781.0,828.0,1743.0,828.0,356.0,828.0,1136.0,828.0,1136.0,828.0,272.0,828.0,50.0,828.0,2.0,828.0,18.0,828.0,2.0,828.0,828.0,828.0,828.0,828.0,355.0,828.0,0.0,828.0,828.0,828.0,639.0,828.0,774.0,828.0,130.0,828.0,0.0,828.0,130.0,828.0,130.0,828.0,1068.0,828.0,15.0,828.0,40.0,828.0,45.0,828.0,70.0,828.0,639.0
18,828.0,801.0,828.0,89.0,828.0,89.0,828.0,639.0,828.0,623.0,828.0,639.0,828.0,828.0,828.0,979.0,828.0,355.0,828.0,1136.0,828.0,1136.0,828.0,1136.0,828.0,1104.0,828.0,356.0,828.0,1136.0,828.0,1136.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,2.0,828.0,828.0,828.0,828.0,828.0,355.0,828.0,0.0,828.0,828.0,828.0,639.0,828.0,774.0,828.0,0.0,828.0,195.0,828.0,130.0,828.0,130.0,828.0,1068.0,828.0,828.0,828.0,55.0,828.0,45.0,828.0,70.0,828.0,639.0
19,828.0,801.0,828.0,89.0,828.0,89.0,828.0,1065.0,828.0,623.0,828.0,639.0,828.0,828.0,828.0,1068.0,828.0,355.0,828.0,276.0,828.0,1136.0,828.0,1136.0,828.0,666.0,828.0,356.0,828.0,1136.0,828.0,267.0,828.0,356.0,828.0,1012.0,828.0,24.0,828.0,2.0,828.0,2.0,828.0,828.0,828.0,828.0,828.0,1420.0,828.0,0.0,828.0,0.0,828.0,0.0,828.0,774.0,828.0,400.0,828.0,0.0,828.0,130.0,828.0,130.0,828.0,1068.0,828.0,5.0,828.0,55.0,828.0,0.0,828.0,70.0,828.0,639.0
