,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
14,0.0,243.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,97.0,0.0,207.0,0.0,207.0,0.0,0.0,0.0,151.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,18.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,56.0,0.0,273.0,0.0,273.0,0.0,273.0,0.0,244.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,
15,0.0,243.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,97.0,0.0,207.0,0.0,207.0,0.0,0.0,0.0,151.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,116.0,0.0,114.0,0.0,18.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,56.0,0.0,273.0,0.0,273.0,0.0,272.0,0.0,245.0,0.0,240.0,0.0,4.0,0.0,34.0,0.0,
16,0.0,243.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,97.0,0.0,207.0,0.0,207.0,0.0,0.0,0.0,151.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,18.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,56.0,0.0,273.0,0.0,309.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,40.0,0.0,34.0,0.0,
17,0.0,243.0,0.0,207.0,0.0,243.0,0.0,207.0,0.0,207.0,0.0,97.0,0.0,207.0,0.0,207.0,0.0,0.0,0.0,151.0,0.0,114.0,0.0,114.0,0.0,116.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,18.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,56.0,0.0,240.0,0.0,309.0,0.0,273.0,0.0,243.0,0.0,202.0,0.0,34.0,0.0,34.0,0.0,
18,0.0,243.0,0.0,207.0,0.0,243.0,0.0,207.0,0.0,207.0,0.0,97.0,0.0,207.0,0.0,207.0,0.0,0.0,0.0,114.0,0.0,114.0,0.0,30.0,0.0,116.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,114.0,0.0,18.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,56.0,0.0,273.0,0.0,309.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,
19,0.0,243.0,0.0,207.0,0.0,243.0,0.0,207.0,0.0,207.0,0.0,97.0,0.0,207.0,0.0,207.0,0.0,0.0,0.0,114.0,0.0,114.0,0.0,30.0,0.0,116.0,0.0,114.0,0.0,130.0,0.0,114.0,0.0,114.0,0.0,18.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,56.0,0.0,273.0,0.0,309.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,35.0,0.0,34.0,0.0,
20,0.0,243.0,0.0,207.0,0.0,243.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,0.0,0.0,114.0,0.0,114.0,0.0,30.0,0.0,116.0,0.0,114.0,0.0,130.0,0.0,114.0,0.0,114.0,0.0,18.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,91.0,0.0,273.0,0.0,309.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,
21,0.0,243.0,0.0,207.0,0.0,243.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,0.0,0.0,114.0,0.0,114.0,0.0,30.0,0.0,116.0,0.0,114.0,0.0,130.0,0.0,114.0,0.0,102.0,0.0,18.0,0.0,148.0,0.0,132.0,0.0,132.0,0.0,56.0,0.0,273.0,0.0,309.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,
22,0.0,243.0,0.0,207.0,0.0,243.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,0.0,0.0,114.0,0.0,114.0,0.0,30.0,0.0,116.0,0.0,114.0,0.0,130.0,0.0,114.0,0.0,102.0,0.0,114.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,56.0,0.0,273.0,0.0,309.0,0.0,273.0,0.0,243.0,0.0,240.0,0.0,34.0,0.0,34.0,0.0,
23,0.0,243.0,0.0,169.0,0.0,243.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,207.0,0.0,0.0,0.0,114.0,0.0,81.0,0.0,30.0,0.0,116.0,0.0,148.0,0.0,130.0,0.0,74.0,0.0,102.0,0.0,114.0,0.0,114.0,0.0,132.0,0.0,132.0,0.0,56.0,0.0,273.0,0.0,309.0,0.0,93.0,0.0,280.0,0.0,240.0,0.0,33.0,0.0,34.0,0.0,
