,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
10,0.0,581.0,0.0,356.0,0.0,460.0,0.0,92.0,0.0,581.0,0.0,581.0,0.0,184.0,0.0,276.0,0.0,92.0,0.0,370.0,0.0,178.0,0.0,368.0,0.0,5.0,0.0,30.0,0.0,92.0,0.0,0.0,0.0,5.0,0.0,40.0,0.0,150.0,0.0,15.0,0.0,20.0,0.0,15.0,0.0,15.0,0.0,184.0,0.0,50.0,0.0,5.0,0.0,5.0,0.0,44.0,0.0,0.0
11,0.0,581.0,0.0,356.0,0.0,460.0,0.0,92.0,0.0,581.0,0.0,581.0,0.0,184.0,0.0,276.0,0.0,276.0,0.0,0.0,0.0,178.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,5.0,0.0,92.0,0.0,712.0,0.0,35.0,0.0,10.0,0.0,15.0,0.0,258.0,0.0,92.0,0.0,50.0,0.0,272.0,0.0,184.0,0.0,44.0,0.0,0.0
12,0.0,581.0,0.0,356.0,0.0,92.0,0.0,92.0,0.0,581.0,0.0,581.0,0.0,184.0,0.0,276.0,0.0,92.0,0.0,370.0,0.0,178.0,0.0,10.0,0.0,10.0,0.0,4.0,0.0,10.0,0.0,10.0,0.0,5.0,0.0,15.0,0.0,78.0,0.0,212.0,0.0,35.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
13,0.0,581.0,0.0,356.0,0.0,460.0,0.0,92.0,0.0,581.0,0.0,581.0,0.0,184.0,0.0,0.0,0.0,276.0,0.0,370.0,0.0,178.0,0.0,10.0,0.0,20.0,0.0,408.0,0.0,10.0,0.0,10.0,0.0,5.0,0.0,15.0,0.0,30.0,0.0,15.0,0.0,35.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,50.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0
14,0.0,581.0,0.0,356.0,0.0,460.0,0.0,92.0,0.0,581.0,0.0,581.0,0.0,184.0,0.0,276.0,0.0,92.0,0.0,370.0,0.0,178.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,460.0,0.0,159.0,0.0,15.0,0.0,10.0,0.0,35.0,0.0,5.0,0.0,15.0,0.0,276.0,0.0,50.0,0.0,68.0,0.0,5.0,0.0,440.0,0.0,0.0
15,0.0,581.0,0.0,356.0,0.0,460.0,0.0,92.0,0.0,581.0,0.0,581.0,0.0,184.0,0.0,276.0,0.0,92.0,0.0,370.0,0.0,178.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,6.0,0.0,10.0,0.0,203.0,0.0,150.0,0.0,35.0,0.0,46.0,0.0,15.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,15.0,0.0,44.0,0.0,0.0
16,0.0,581.0,0.0,356.0,0.0,460.0,0.0,92.0,0.0,518.0,0.0,581.0,0.0,184.0,0.0,276.0,0.0,92.0,0.0,370.0,0.0,534.0,0.0,0.0,0.0,56.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,276.0,0.0,20.0,0.0,0.0,0.0,178.0,0.0,828.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,65.0
17,0.0,581.0,0.0,356.0,0.0,460.0,0.0,92.0,0.0,581.0,0.0,581.0,0.0,184.0,0.0,276.0,0.0,92.0,0.0,370.0,0.0,178.0,0.0,10.0,0.0,52.0,0.0,184.0,0.0,10.0,0.0,10.0,0.0,15.0,0.0,0.0,0.0,30.0,0.0,15.0,0.0,35.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,50.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,581.0,0.0,356.0,0.0,460.0,0.0,92.0,0.0,581.0,0.0,581.0,0.0,184.0,0.0,276.0,0.0,644.0,0.0,370.0,0.0,92.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,5.0,0.0,44.0,0.0,0.0
19,0.0,581.0,0.0,445.0,0.0,460.0,0.0,92.0,0.0,581.0,0.0,581.0,0.0,184.0,0.0,276.0,0.0,92.0,0.0,666.0,0.0,267.0,0.0,20.0,0.0,10.0,0.0,10.0,0.0,30.0,0.0,10.0,0.0,0.0,0.0,552.0,0.0,89.0,0.0,15.0,0.0,5.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,50.0,0.0,71.0,0.0,5.0,0.0,44.0,0.0,0.0
