,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
11,368.0,267.0,368.0,801.0,368.0,623.0,368.0,182.0,368.0,182.0,368.0,130.0,368.0,182.0,368.0,182.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,8.0,368.0,184.0,368.0,0.0,368.0,368.0,368.0,89.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,182.0,368.0,0.0,368.0,213.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,552.0
12,368.0,267.0,368.0,801.0,368.0,623.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,156.0,368.0,356.0,368.0,184.0,368.0,0.0,368.0,0.0,368.0,89.0,368.0,208.0,368.0,0.0,368.0,736.0,368.0,52.0,368.0,182.0,368.0,368.0,368.0,213.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,552.0
13,368.0,267.0,368.0,801.0,368.0,623.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,8.0,368.0,184.0,368.0,0.0,368.0,368.0,368.0,89.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,460.0,368.0,368.0,368.0,213.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,552.0
14,368.0,267.0,368.0,801.0,368.0,623.0,368.0,104.0,368.0,182.0,368.0,623.0,368.0,182.0,368.0,208.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,8.0,368.0,184.0,368.0,890.0,368.0,368.0,368.0,89.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,182.0,368.0,368.0,368.0,213.0,368.0,213.0,368.0,368.0,368.0,184.0,368.0,552.0
15,368.0,267.0,368.0,801.0,368.0,623.0,368.0,78.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,8.0,368.0,0.0,368.0,0.0,368.0,368.0,368.0,1602.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,182.0,368.0,368.0,368.0,213.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,552.0
16,368.0,267.0,368.0,801.0,368.0,623.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,8.0,368.0,184.0,368.0,0.0,368.0,368.0,368.0,89.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,182.0,368.0,1104.0,368.0,213.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,552.0
17,368.0,267.0,368.0,801.0,368.0,623.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,1288.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,8.0,368.0,184.0,368.0,0.0,368.0,368.0,368.0,89.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,2.0,368.0,368.0,368.0,284.0,368.0,213.0,368.0,516.0,368.0,368.0,368.0,552.0
18,368.0,267.0,368.0,801.0,368.0,623.0,368.0,182.0,368.0,182.0,368.0,234.0,368.0,182.0,368.0,182.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,8.0,368.0,184.0,368.0,712.0,368.0,368.0,368.0,445.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,182.0,368.0,0.0,368.0,0.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,552.0
19,368.0,267.0,368.0,801.0,368.0,623.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,368.0,368.0,368.0,368.0,0.0,368.0,8.0,368.0,8.0,368.0,8.0,368.0,184.0,368.0,0.0,368.0,368.0,368.0,89.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,182.0,368.0,368.0,368.0,426.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,552.0
20,368.0,267.0,368.0,801.0,368.0,623.0,368.0,182.0,368.0,182.0,368.0,182.0,368.0,161.0,368.0,182.0,368.0,368.0,368.0,736.0,368.0,0.0,368.0,68.0,368.0,276.0,368.0,8.0,368.0,184.0,368.0,0.0,368.0,368.0,368.0,89.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,208.0,368.0,182.0,368.0,368.0,368.0,178.0,368.0,213.0,368.0,368.0,368.0,368.0,368.0,552.0
