,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
10,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,332.0,92.0,0.0,92.0,736.0,92.0,640.0,92.0,640.0,92.0,249.0,92.0,92.0,92.0,920.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,0.0,92.0,0.0,92.0,92.0,92.0,92.0
11,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,166.0,92.0,0.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,0.0,92.0,249.0,92.0,92.0,92.0,920.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
12,92.0,801.0,92.0,0.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,581.0,92.0,83.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,560.0,92.0,249.0,92.0,92.0,92.0,920.0,92.0,0.0,92.0,0.0,92.0,172.0,92.0,92.0,92.0,640.0,92.0,0.0,92.0,184.0,92.0,92.0
13,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,184.0,92.0,83.0,92.0,83.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,640.0,92.0,249.0,92.0,178.0,92.0,920.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,4.0,92.0,92.0,92.0,92.0
14,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,86.0,92.0,0.0,92.0,640.0,92.0,640.0,92.0,249.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,426.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
15,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,640.0,92.0,249.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,0.0,92.0,0.0,92.0,92.0,92.0,92.0
16,92.0,801.0,92.0,534.0,92.0,178.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,640.0,92.0,249.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,0.0,92.0,0.0,92.0,92.0,92.0,92.0
17,92.0,801.0,92.0,534.0,92.0,355.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,0.0,92.0,249.0,92.0,460.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
18,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,86.0,92.0,640.0,92.0,74.0,92.0,640.0,92.0,249.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,2.0,92.0,92.0,92.0,276.0
19,92.0,801.0,92.0,534.0,92.0,267.0,92.0,267.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,774.0,92.0,640.0,92.0,640.0,92.0,640.0,92.0,249.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
20,92.0,801.0,92.0,623.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,688.0,92.0,640.0,92.0,640.0,92.0,720.0,92.0,249.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,92.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,267.0
21,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,240.0,92.0,249.0,92.0,552.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,0.0,92.0,0.0,92.0,92.0,92.0,92.0
22,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,344.0,92.0,640.0,92.0,640.0,92.0,240.0,92.0,249.0,92.0,368.0,92.0,92.0,92.0,328.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,0.0
23,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,92.0,92.0,249.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
24,92.0,801.0,92.0,0.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,0.0,92.0,249.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,4.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
25,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,332.0,92.0,83.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,329.0,92.0,249.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,2.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
26,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,272.0,92.0,249.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
27,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,86.0,92.0,0.0,92.0,640.0,92.0,0.0,92.0,249.0,92.0,92.0,92.0,92.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
28,92.0,801.0,92.0,623.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,644.0,92.0,249.0,92.0,92.0,92.0,276.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,184.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
29,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,332.0,92.0,83.0,92.0,86.0,92.0,640.0,92.0,640.0,92.0,258.0,92.0,249.0,92.0,92.0,92.0,276.0,92.0,0.0,92.0,4.0,92.0,4.0,92.0,184.0,92.0,640.0,92.0,276.0,92.0,92.0,92.0,92.0
30,92.0,801.0,92.0,534.0,92.0,267.0,92.0,712.0,92.0,92.0,92.0,83.0,92.0,83.0,92.0,0.0,92.0,640.0,92.0,640.0,92.0,0.0,92.0,249.0,92.0,92.0,92.0,184.0,92.0,74.0,92.0,0.0,92.0,0.0,92.0,0.0,92.0,640.0,92.0,0.0,92.0,92.0,92.0,92.0
