,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
10,0.0,240.0,0.0,274.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,234.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,41.0,0.0,1.0,0.0,38.0,0.0,221.0,0.0,184.0,0.0,92.0,0.0,92.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
11,0.0,240.0,0.0,274.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,234.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,4.0,0.0,1.0,0.0,38.0,0.0,221.0,0.0,184.0,0.0,92.0,0.0,92.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
12,0.0,240.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,234.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,1.0,0.0,36.0,0.0,221.0,0.0,184.0,0.0,92.0,0.0,92.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
13,0.0,240.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,234.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,1.0,0.0,38.0,0.0,221.0,0.0,184.0,0.0,92.0,0.0,92.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
14,0.0,240.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,307.0,0.0,307.0,0.0,244.0,0.0,3.0,0.0,307.0,0.0,234.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,1.0,0.0,38.0,0.0,221.0,0.0,184.0,0.0,92.0,0.0,92.0,0.0,143.0,0.0,76.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
15,0.0,240.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,342.0,0.0,306.0,0.0,342.0,0.0,342.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,3.0,0.0,307.0,0.0,234.0,0.0,0.0,0.0,4.0,0.0,109.0,0.0,38.0,0.0,1.0,0.0,7.0,0.0,221.0,0.0,184.0,0.0,92.0,0.0,16.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,166.0,0.0,107.0,0.0,0.0
16,0.0,240.0,0.0,342.0,0.0,210.0,0.0,342.0,0.0,342.0,0.0,306.0,0.0,342.0,0.0,342.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,3.0,0.0,307.0,0.0,234.0,0.0,0.0,0.0,38.0,0.0,39.0,0.0,38.0,0.0,1.0,0.0,38.0,0.0,184.0,0.0,184.0,0.0,127.0,0.0,16.0,0.0,143.0,0.0,64.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
17,0.0,240.0,0.0,342.0,0.0,210.0,0.0,342.0,0.0,342.0,0.0,306.0,0.0,342.0,0.0,342.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,341.0,0.0,3.0,0.0,307.0,0.0,234.0,0.0,0.0,0.0,133.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,184.0,0.0,184.0,0.0,92.0,0.0,16.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
18,0.0,240.0,0.0,342.0,0.0,210.0,0.0,342.0,0.0,342.0,0.0,306.0,0.0,342.0,0.0,174.0,0.0,307.0,0.0,306.0,0.0,307.0,0.0,307.0,0.0,3.0,0.0,307.0,0.0,307.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,184.0,0.0,2.0,0.0,92.0,0.0,16.0,0.0,143.0,0.0,66.0,0.0,66.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
19,0.0,240.0,0.0,342.0,0.0,210.0,0.0,342.0,0.0,342.0,0.0,306.0,0.0,342.0,0.0,342.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,307.0,0.0,3.0,0.0,307.0,0.0,307.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,184.0,0.0,184.0,0.0,92.0,0.0,16.0,0.0,143.0,0.0,67.0,0.0,69.0,0.0,235.0,0.0,132.0,0.0,132.0,0.0,107.0,0.0,0.0
